arm,time_s,target_timestamp_ns,source_timestamp_ns,source_index,age_ms,fx,fy,fz,tx,ty,tz,time_offset_ms
left,14.203776,1787652124825284096,1787652124821912031,11361,3.372065,-0.29377617496698055,2.227018889386573,33.918767178645204,-5.904963771501013,-1.7211689688443874,-0.5718905530072512,-100.0
left,14.213776,1787652124835284096,1787652124832087065,11368,3.197031,-1.1026206236159548,3.3590122816162027,33.98578257251217,-5.613020429163115,-1.6121292984204265,-1.0100621716130513,-90.0
left,14.223776,1787652124845284096,1787652124842073600,11376,3.210496,-1.9760131066258113,3.6531130810144097,33.97232097504181,-5.358086763799506,-1.537350622122971,-1.3690985504227964,-80.0
left,14.233776,1787652124855284096,1787652124851931782,11385,3.352314,-2.7287615535324075,4.274916746785239,34.10257787844182,-5.162876870302559,-1.5048949014545956,-1.6354247800005788,-70.0
left,14.243776,1787652124865284096,1787652124861960437,11394,3.323659,-3.3482461161208477,4.5155119533742685,34.248614916177615,-4.9833714569810175,-1.4705980666074359,-1.8851800769612423,-60.0
left,14.253776,1787652124875284096,1787652124871895532,11402,3.388564,-3.8814035716850186,4.906540231671123,34.43444782549464,-4.901924437492652,-1.4672125553382642,-1.9890502061354554,-50.0
left,14.263776,1787652124885284096,1787652124881908804,11409,3.375292,-4.668919068495826,4.685702067205167,34.21106380328123,-4.8973673886281635,-1.4966431779855167,-1.974953790779627,-40.0
left,14.273776,1787652124895284096,1787652124892267116,11416,3.01698,-5.027193302186545,4.876914695976522,33.800910265734,-4.928363894659165,-1.5218765733675497,-1.942842443335,-30.0
left,14.283776,1787652124905284096,1787652124901913391,11426,3.370705,-5.607348554733586,4.76989554042417,33.40291700951331,-4.963782171634723,-1.5472397944244873,-1.9019447476120188,-20.0
left,14.293776,1787652124915284096,1787652124912053225,11432,3.230871,-6.321263100903301,4.118747420453073,33.41100083360704,-5.068438462267894,-1.622024304083853,-1.7279003724412973,-10.0
left,14.303776,1787652124925284096,1787652124921897610,11440,3.386486,-6.202268452146768,3.7342017171601514,32.11054856167255,-5.146892915922605,-1.6527430382169461,-1.6360717125860975,0.0
right,14.203776,1787652124825284096,1787652124821845305,11360,3.438791,-53.329191841283745,-6.694264036163338,-26.83725379964965,1.4127747760574094,-6.493542127156905,-1.185531529529006,-100.0
right,14.213776,1787652124835284096,1787652124832003590,11369,3.280506,-53.17147078850497,-6.711617775923935,-26.7775106596051,1.4068003212837652,-6.47067021204656,-1.183520422692946,-90.0
right,14.223776,1787652124845284096,1787652124841992657,11377,3.291439,-53.63947214221921,-7.303050485200609,-27.11312509052484,1.4296129063882252,-6.533220446601724,-1.2017861541563892,-80.0
right,14.233776,1787652124855284096,1787652124851870623,11386,3.413473,-54.077918653232146,-6.894643523357258,-27.346987805570468,1.4325961613226428,-6.566108878607362,-1.2084919044469995,-70.0
right,14.243776,1787652124865284096,1787652124861888331,11392,3.395765,-54.22501311486101,-6.955415964568116,-27.489465114279167,1.435382056169664,-6.578263624901968,-1.212552143746894,-60.0
right,14.253776,1787652124875284096,1787652124871834860,11401,3.449236,-54.333845850680795,-7.025201648462227,-27.595513490425905,1.4401516299113213,-6.586384687407311,-1.2177309050615728,-50.0
right,14.263776,1787652124885284096,1787652124881852452,11411,3.431644,-54.24600430255853,-7.539530113197859,-27.60688697564583,1.441790753626326,-6.570363426869822,-1.2128661032575665,-40.0
right,14.273776,1787652124895284096,1787652124892202966,11417,3.08113,-54.696092904433264,-7.608653293702234,-27.8672025912695,1.4529379671140144,-6.620278964062483,-1.222752438334994,-30.0
right,14.283776,1787652124905284096,1787652124901850842,11424,3.433254,-55.130986209001065,-7.13693664558884,-28.08186925500092,1.4579820563121815,-6.6532540650752665,-1.2312524734905816,-20.0
right,14.293776,1787652124915284096,1787652124911990537,11433,3.293559,-55.52766229946635,-7.689992445963277,-28.381922479228255,1.4762997610155417,-6.7010212400908165,-1.2435343509836292,-10.0
right,14.303776,1787652124925284096,1787652124921838153,11441,3.445943,-55.9082543229266,-7.278195087701867,-28.526460952293963,1.476220533292949,-6.7279438656435,-1.250202782041367,0.0
