arm,time_s,target_timestamp_ns,source_timestamp_ns,source_index,age_ms,fx,fy,fz,tx,ty,tz
left,0.01,1787652110631508096,1787652110627208553,6,4.299543,29.289753173322897,12.141702035681414,73.73739358761719,-0.15173270789377047,4.269243668472436,-0.8378566831599848
left,0.02,1787652110641508096,1787652110636894913,13,4.613183,28.8590764150379,12.164046545873344,73.9358604683486,-0.1505501713896168,4.254784000099583,-0.8391973937412861
left,0.03,1787652110651508096,1787652110647372432,23,4.135664,29.07656830876335,12.5301282078868,73.69015577603031,-0.14921376365255543,4.2610946758759916,-0.8486327119564183
left,0.04,1787652110661508096,1787652110656944607,31,4.563489,28.983626501613557,12.134944325314127,73.9768199818171,-0.1503610702724264,4.262174431762929,-0.8401952230147891
left,0.05,1787652110671508096,1787652110667006268,39,4.501828,29.32870129099793,12.521112530906304,73.99896173826697,-0.14945007197210142,4.276751089312772,-0.8496681227521259
left,0.06,1787652110681508096,1787652110676931020,44,4.577076,29.319099718301963,12.165424781272296,73.97332030902916,-0.14876670496454059,4.272726555692664,-0.8425092647378379
left,0.07,1787652110691508096,1787652110687325530,52,4.182566,28.87555097244836,12.54724001816051,73.92571163764805,-0.1478717830391995,4.250135770051325,-0.8491750748741286
left,0.08,1787652110701508096,1787652110697387034,61,4.121062,29.260666595877307,12.54117664204727,73.9668849754252,-0.14998449631009877,4.2685845413585515,-0.8504031378051992
left,0.09,1787652110711508096,1787652110706847962,69,4.660134,28.990585896929076,12.518223147960702,73.64269013510362,-0.153093437359741,4.249266638562224,-0.8473995460300942
left,0.1,1787652110721508096,1787652110717185918,77,4.322178,29.264766800871193,12.495994157755476,73.94799343863792,-0.15286204939641737,4.27121920311776,-0.8499958476050941
left,0.11,1787652110731508096,1787652110726950683,86,4.557413,29.016845654593315,12.071006293423704,73.62894651814211,-0.14946215642531252,4.256232195753109,-0.8402342844719657
left,0.12,1787652110741508096,1787652110737196227,93,4.311869,28.93293078303866,12.079252263680381,73.91186703840519,-0.1480645418958495,4.257828048567536,-0.8375192006548318
left,0.13,1787652110751508096,1787652110747373799,100,4.134297,28.995168730511665,12.120335281247701,73.63532762258889,-0.15038545230204642,4.259228726649545,-0.838061510566046
left,0.14,1787652110761508096,1787652110756922860,108,4.585236,28.96956199151373,12.483441973208508,73.66458610156434,-0.14972945084558142,4.256982477476482,-0.8473159878721257
left,0.15,1787652110771508096,1787652110767248622,119,4.259474,28.90805406109661,12.090552519964263,73.93215577252927,-0.1515001511029445,4.255774043031524,-0.8387162899167642
left,0.16,1787652110781508096,1787652110776867303,124,4.640793,29.295532793432123,12.504967151481724,73.94437383241929,-0.1523468142118098,4.271195105524241,-0.8476504185172615
left,0.17,1787652110791508096,1787652110787487929,135,4.020167,29.355397540679075,12.49290598260772,73.70305689281395,-0.15357389952663758,4.276547504277571,-0.8453156312698368
left,0.18,1787652110801508096,1787652110797459234,140,4.048862,28.864401369036194,12.069301954489873,73.96372448402238,-0.15373294572312185,4.259035957319325,-0.8363238651507213
left,0.19,1787652110811508096,1787652110806916175,149,4.591921,29.270870188013195,12.134546991271993,73.9894513006643,-0.1525622357914777,4.274346759038743,-0.8377224327831634
