arm,time_s,target_timestamp_ns,source_timestamp_ns,source_index,age_ms,fx,fy,fz,tx,ty,tz
arm,0.01,21371854772284,21371853552651,1,1.219633,1.8423772214670555,0.12703307970366254,-1.5793786552697089,0.16652094006820223,1.086684551523434,-0.07335074710584356
arm,0.02,21371864772284,21371860271034,7,4.50125,1.9180470497509696,0.14161855459840555,-1.5702948907418264,0.16349659951488305,1.1125201011154415,-0.07041513898122016
arm,0.03,21371874772284,21371870671280,9,4.101004,1.9208699434343273,0.14554109216571734,-1.5603568446948382,0.15957011757937264,1.1103211940170958,-0.07153973871097458
arm,0.04,21371884772284,21371877209012,10,7.563272,1.9040023522431642,0.1530233023270699,-1.5686091299337224,0.1587274583765575,1.1065013111160988,-0.06827976610671634
arm,0.05,21371894772284,21371890160578,12,4.611706,1.8919673575213871,0.15750050344018646,-1.5412948335314038,0.1617885278019471,1.094514952824971,-0.06509860451923108
arm,0.06,21371904772284,21371890160578,12,14.611706,1.8919673575213871,0.15750050344018646,-1.5412948335314038,0.1617885278019471,1.094514952824971,-0.06509860451923108
arm,0.07,21371914772284,21371911208445,14,3.563839,1.9015711552531822,0.1519526008849981,-1.5607042580643935,0.1658949166681075,1.103847657320827,-0.06552792452745997
arm,0.08,21371924772284,21371919587468,17,5.184816,1.8852858762630906,0.15118300540124843,-1.5469089804909293,0.16376014991094695,1.0948237086076815,-0.06621458942512913
arm,0.09,21371934772284,21371931533698,19,3.238586,1.8697234815128645,0.1464718183593311,-1.554662620734805,0.16165103911295794,1.0919052379610028,-0.07037268689469214
arm,0.1,21371944772284,21371943059126,21,1.713158,1.8493279081540246,0.14401087137730864,-1.5575961200925557,0.16495788252514101,1.0850305043361903,-0.07120528120478488
arm,0.11,21371954772284,21371950346535,22,4.425749,1.842307702354408,0.1408951579061155,-1.5493544517540265,0.16595599917001486,1.079096562736029,-0.07252621887309525
arm,0.12,21371964772284,21371963320121,24,1.452163,1.8342858042789318,0.14087890093107383,-1.5479922029112752,0.16597183575493288,1.0755036084119136,-0.07333977102367692
arm,0.13,21371974772284,21371963320121,24,11.452163,1.8342858042789318,0.14087890093107383,-1.5479922029112752,0.16597183575493288,1.0755036084119136,-0.07333977102367692
arm,0.14,21371984772284,21371984042059,26,0.730225,1.9127936816116526,0.14222579019324147,-1.4684057691212575,0.16603812247194977,1.0815969294019598,-0.07334173443086484
arm,0.15,21371994772284,21371991831314,27,2.94097,1.8887622782147773,0.13627631819569005,-1.4878559335733645,0.1671483240768967,1.0780887713097977,-0.0760967162710053
arm,0.16,21372004772284,21371998332150,30,6.440134,1.8068795243321347,0.1279462293742285,-1.5701090451890045,0.1725348180857812,1.0688899317393457,-0.07297983933080653
arm,0.17,21372014772284,21372010296987,32,4.475297,1.8298921250601725,0.12807885479835837,-1.5949758767886975,0.17600832048647583,1.0831776365159531,-0.07044889547894066
arm,0.18,21372024772284,21372021555067,34,3.217217,1.8444775707083214,0.11872241775476464,-1.5800070609325492,0.17626173557813818,1.0843384709335682,-0.07552978782879066
